lp1,lp2,lp3,rp1,rp2,rp3,lt1,lt2,lr3,rt1,rt2,rt3,time
0.000000, 0.000000, 1.092500, 0.958203, 0.000000, 0.317629, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6656 
0.000000, 0.000000, 1.118645, 0.946527, 0.000000, 0.204033, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6706 
0.000000, 0.000000, 1.241131, 0.883743, 0.000000, 0.380506, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6756 
0.000000, 0.000000, 1.137624, 0.817119, 0.000000, 0.025268, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6806 
0.000000, 0.000000, 1.156325, 1.167552, 0.000000, 0.567854, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6856 
0.000000, 0.000000, 1.022878, 0.792314, 0.000000, 0.192010, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6906 
0.000000, 0.000000, 1.284639, 0.849137, 0.000000, 0.306190, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6956 
0.000000, 0.000000, 1.075906, 1.282534, 0.000000, 0.249246, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7006 
0.000000, 0.000000, 1.155336, 1.062028, 0.000000, 0.509010, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7056 
0.000000, 0.000000, 1.110373, 0.830578, 0.000000, 0.213216, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7106 
0.000000, 0.000000, 1.245756, 0.885234, 0.000000, 0.302204, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7156 
0.000000, 0.000000, 1.078356, 1.094044, 0.000000, 0.098019, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7206 
0.000000, 0.000000, 1.172904, 0.714938, 0.000000, 0.261191, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7256 
0.000000, 0.000000, 1.228390, 1.455305, 0.000000, 0.145358, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7306 
0.000000, 0.000000, 1.084671, 1.081178, 0.000000, 0.320842, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7356 
0.000000, 0.000000, 1.240421, 0.796168, 0.003435, 0.213996, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7406 
0.000000, 0.000000, 1.081703, 0.789430, 0.000000, 0.252295, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7456 
0.000000, 0.000000, 1.228366, 1.616657, 0.000000, 0.382651, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7506 
0.000000, 0.000000, 1.100157, 0.876225, 0.000000, 0.642663, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 7556 
